order_id,date,product,category,amount,region
1001,2024-01-03,Widget A,Electronics,149.99,South
1002,2024-01-05,Gadget B,Appliances,89.50,North
1003,2024-01-05,Widget A,Electronics,149.99,East
1004,2024-01-08,Accessory C,Electronics,24.00,South
1005,2024-02-01,Gadget B,Appliances,89.50,West
1006,2024-02-14,Widget A,Electronics,149.99,North
1007,2024-03-02,Accessory C,Electronics,24.00,East
1008,2024-03-15,Gadget B,Appliances,89.50,South
1009,2024-03-20,Widget A,Electronics,149.99,West
1010,2024-03-22,Gadget B,Appliances,89.50,South
1011,2024-04-01,Accessory C,Electronics,24.00,North
1012,2024-04-10,Widget A,Electronics,149.99,East
1013,2024-04-15,Gadget B,Appliances,89.50,South
1014,2024-04-18,Widget A,Electronics,149.99,West
1015,2024-05-02,Accessory C,Electronics,24.00,North
1016,2024-05-14,Gadget B,Appliances,89.50,East
1017,2024-05-20,Widget A,Electronics,149.99,South
1018,2024-06-01,Accessory C,Electronics,24.00,West
1019,2024-06-10,Gadget B,Appliances,89.50,North
1020,2024-06-22,Widget A,Electronics,149.99,East
